id	nm	lat	lon	countryCode
3372760	Praia_da_Vitoria	38.733330	-27.066669	PT
3372908	Madalena	38.536419	-28.526600	PT
3372964	Lagoa	39.049999	-27.983330	PT
3372988	Horta	38.533329	-28.633329	PT
3373099	Faja_de_Baixo	37.750000	-25.650000	PT
3373329	Arrifes	37.766670	-25.700001	PT
3373348	Angra_do_Heroismo	38.650002	-27.216669	PT
6697257	Valenza	42.024181	-8.634740	PT
2263491	Santana	32.799999	-16.883329	PT
2271140	Barcarena	38.732449	-9.280000	PT
2740313	Covilha	40.286011	-7.503960	PT
2270184	Carcavelos	38.691051	-9.322150	PT
2266961	Lourinha	39.233330	-9.316670	PT
2736930	Ovar	40.858620	-8.625130	PT
2264009	Redondo	38.648720	-7.547080	PT
2267057	Lisboa	38.716671	-9.133330	PT
2738014	Maia	41.235741	-8.619900	PT
2267067	Linda-a-Velha	38.714458	-9.242200	PT
2271772	Amadora	38.753819	-9.230830	PT
2264526	Pontinha	38.767712	-9.199350	PT
2268406	Evora	38.566669	-7.900000	PT
2267095	Leiria	39.743622	-8.807050	PT
2270503	Cacem	38.766979	-9.297930	PT
2270649	Bucelas	38.901932	-9.118850	PT
2268339	Faro	37.019371	-7.932230	PT
2732649	Vila_do_Conde	41.354809	-8.743400	PT
2265169	Parede	38.692822	-9.354120	PT
2732265	Viseu	40.661011	-7.909710	PT
2264299	Quarteira	37.069462	-8.100640	PT
2271985	Alges	38.702450	-9.229360	PT
2262963	Setubal	38.524399	-8.888200	PT
2262540	Tramagal	39.450001	-8.250000	PT
2266977	Loures	38.830910	-9.168450	PT
2739788	Fafe	41.454231	-8.168000	PT
2734140	Senhora_da_Hora	41.186401	-8.651720	PT
2270377	Camarate	38.803581	-9.128080	PT
2735083	Rio_Tinto	41.182590	-8.558110	PT
2741551	Canidelo	41.124020	-8.651040	PT
2735088	Rio_Meao	40.957748	-8.578180	PT
2272091	Aldeia_de_Paio_Pires	38.616669	-9.083330	PT
2737639	Mirandela	41.487381	-7.186950	PT
2271071	Barreiro	38.663139	-9.072400	PT
2266703	Marinha_Grande	39.747688	-8.932280	PT
2265223	Palmela	38.569019	-8.901260	PT
2739636	Ferreiros	41.349998	-8.550000	PT
2265472	Odemira	37.597980	-8.639720	PT
2264575	Pombal	39.916740	-8.628470	PT
2263352	Sao_Domingos_de_Rana	38.701229	-9.327600	PT
2736391	Perafita	41.182522	-8.254500	PT
2737042	Oliveira_do_Bairro	40.514599	-8.493860	PT
2732978	Valongo	41.195011	-8.510270	PT
2737393	Moreira de Conegos	41.386799	-8.339400	PT
2734215	Seia	40.415100	-7.708590	PT
2271337	Azambuja	39.070290	-8.868220	PT
2263480	Santarem	39.233330	-8.683330	PT
2263326	Sao_Joao_da_Talha	38.821831	-9.090790	PT
2740519	Cortegaca	40.948830	-8.621300	PT
2269514	Castelo_Branco	39.822189	-7.490870	PT
2734484	Sao_Joao_da_Madeira	40.902290	-8.489690	PT
2741985	Brito	41.458210	-8.361030	PT
2737150	Nogueira	41.242458	-8.586850	PT
2737184	Nelas	40.532162	-7.851520	PT
2272147	Alcobaca	39.552231	-8.977500	PT
2262644	Tomar	39.601990	-8.409240	PT
2732438	Vila_Real	41.300621	-7.744130	PT
2739080	Gandra	41.201160	-8.433760	PT
2272222	Albufeira	37.088188	-8.250300	PT
2269496	Castro_Marim	37.220680	-7.443500	PT
2264923	Peniche	39.355801	-9.381120	PT
2742565	Avintes	41.117470	-8.549860	PT
2271841	Alter_do_Chao	39.197411	-7.658930	PT
2271947	Almancil	37.086861	-8.030740	PT
2737268	Mozelos	41.867741	-8.397760	PT
2742681	Arrifana	40.915649	-8.496570	PT
2266411	Milharado	38.947319	-9.199140	PT
2742024	Branca	40.766529	-8.482620	PT
2269041	Corroios	38.645020	-9.148430	PT
2266319	Moita	38.650780	-8.990380	PT
2270437	Caldas_da_Rainha	39.403259	-9.138390	PT
2739286	Frazao	41.258659	-8.400140	PT
2262926	Silves	37.189209	-8.438220	PT
2741724	Calendario	41.403610	-8.529670	PT
2265788	Montijo	38.706749	-8.973880	PT
2733533	Tondela	40.516670	-8.083330	PT
2263586	Samora Correia	38.937092	-8.871780	PT
2733601	Teloes	41.310539	-8.111010	PT
2272189	Alcanena	39.459000	-8.668920	PT
2738038	Madalena	41.216160	-8.334510	PT
2741266	Carvalhosa	41.300571	-8.360800	PT
2739034	Gemunde	41.267658	-8.645150	PT
2736792	Pampilhosa_do_Botao	40.335800	-8.427380	PT
2261673	Vieira_de_Leiria	39.869450	-8.932380	PT
2261740	Vendas_Novas	38.677059	-8.457920	PT
2264359	Povoa_de_Santa_Iria	38.861012	-9.064530	PT
2732404	Vilarinho	41.359550	-8.331230	PT
2270770	Bombarral	39.267231	-9.157950	PT
2737651	Mira	40.428921	-8.737460	PT
2732312	Vilela	41.225109	-7.603380	PT
2742868	Anta	41.266338	-8.628440	PT
2738159	Lourosa	40.984200	-8.551420	PT
2264357	Povoa_de_Santo_Adriao	38.799999	-9.166670	PT
2272143	Alcoentre	39.208569	-8.959530	PT
2271438	Arruda_dos_Vinhos	38.984112	-9.077460	PT
2263596	Salvaterra_de_Magos	39.027882	-8.793500	PT
2264718	Pinhal_Novo	38.631062	-8.913760	PT
2738360	Lavra	41.259361	-8.718490	PT
2737769	Meinedo	41.248268	-8.258070	PT
2271975	Alhandra	38.927319	-9.008640	PT
2736316	Peso_da_Regua	41.164909	-7.787030	PT
2743407	Adaufe	41.587318	-8.398170	PT
2264644	Poceirao	38.830952	-8.793650	PT
2266974	Lourical	40.003899	-8.737360	PT
2264527	Pontevel	39.149448	-8.838800	PT
2262867	Sobralinho	38.917030	-9.026560	PT
2271623	Apelacao	38.813869	-9.132250	PT
2737669	Milheiros_de_Poiares	40.921631	-8.467880	PT
2739285	Freamunde	41.288349	-8.335330	PT
2735377	Rebordosa	41.224049	-8.406690	PT
2738082	Macedo_de_Cavaleiros	41.538158	-6.961100	PT
2271473	Arrentela	38.616669	-9.100000	PT
2732965	Valpacos	41.607460	-7.310880	PT
2740159	Darque	41.683331	-8.766670	PT
2266702	Marinhais	39.047298	-8.702360	PT
2742827	Arazede	40.286270	-8.649990	PT
2264736	Piedade	38.666672	-9.150000	PT
2269282	Charneca	38.620590	-9.191490	PT
2271542	Armacao_de_Pera	37.102558	-8.356950	PT
2743076	Alhadas	40.186069	-8.790570	PT
2271970	Alhos_Vedros	38.654861	-9.023680	PT
2734028	Serzedo	41.405022	-8.229260	PT
2739566	Figueiro	41.299221	-8.167790	PT
2734032	Serzedelo	41.401279	-8.368880	PT
2742757	Arganil	40.218262	-8.054030	PT
2263458	Santiago do Cacem	38.016941	-8.694750	PT
2266272	Moncarapacho	37.088631	-7.787220	PT
2265120	Pataias	39.669781	-8.995800	PT
2734069	Seroa	41.265110	-8.428920	PT
2262544	Trafaria	38.672218	-9.232680	PT
2262865	Sobreda	38.649609	-9.189770	PT
2264538	Ponte_de_Sor	39.249641	-8.010090	PT
2263322	Sao_Joao_dos_Montes	38.939442	-9.018920	PT
2271354	Atouguia_da_Baleia	39.338139	-9.326300	PT
2739333	Foz_do_Sousa	41.096680	-8.501840	PT
2742309	Beduido	40.764271	-8.561100	PT
2265841	Monte_Redondo	39.899300	-8.831710	PT
2263923	Riachos	39.444721	-8.514200	PT
2733812	Souto	40.986752	-8.622300	PT
2733628	Teixoso	40.314480	-7.457590	PT
2737064	Olival	41.050240	-8.544160	PT
2262478	Turquel	39.464119	-8.977430	PT
2734473	Sao_Joao_de_Ver	40.955269	-8.551170	PT
2740992	Casteloes_de_Cepeda	41.202648	-8.335160	PT
2740593	Condeixa_a_Nova	40.115730	-8.498340	PT
2733941	Sobrado	41.210411	-8.454880	PT
2742702	Aroes	41.455528	-8.214190	PT
2272379	A_dos_Cunhados	39.152370	-9.297200	PT
2268437	Estombar	37.146290	-8.485050	PT
2741728	Caldelas	41.671009	-8.381480	PT
2735116	Rio_de_Loba	40.665958	-7.877810	PT
2265914	Monte_Gordo	37.181919	-7.452250	PT
2739153	Gafanha_da_Encarnacao	40.618061	-8.733030	PT
2268250	Ferreiras	37.129261	-8.237590	PT
2269142	Colares	38.799221	-9.446910	PT
2740221	Cucujaes	40.874130	-8.506870	PT
2737810	Meadela	41.706539	-8.796280	PT
2270385	Camacha	33.083328	-16.333330	PT
2737936	Manteigas	40.402802	-7.539770	PT
2735012	Ronfe	41.441460	-8.384120	PT
2270266	Canical	32.738338	-16.738359	PT
2266895	Machico	32.700001	-16.766670	PT
